aeroporto,tipo.de.voo,cia.aerea,possui.deficiencia,facilidade.de.desembarque.no.meio.fio,opcoes.de.transporte.ate.o.aeroporto,processo.de.aquisicao.da.passagem,processo.de.inspecao.de.seguranca,estabelecimentos.de.alimentacao,localizacao.e.deslocamento,conforto.da.sala.de.embarque,disponibilidade.de.tomadas,internet.disponibilizada.pelo.aeroporto,sanitarios,limpeza.geral.do.aeroporto,satisfacao.geral,nacionalidade,genero,idade,escolaridade,renda.familiar,viajando.sozinho,motivo.da.viagem,quantidade.de.viagens.nos.ultimos.12.meses,ja.embarcou.desembarcou.antes.no.aeroporto
SBCY,Doméstico,AZUL,Nenhuma,5,5,5,5,5,4,5,4,5,5,5,5,Brasileira,Masculino,36 a 45 anos,Superior,Prefiro não informar,Sim,Lazer,2 a 3,Sim
SBGO,Doméstico,LATAM,Nenhuma,5,5,5,4,4,5,5,5,5,5,5,5,Brasileira,Feminino,26 a 35 anos,Superior,Entre 4 e 10 sm,Sim,Trabalho,Mais de 11,Não
SBGR,Internacional,LUFTHANSA,Nenhuma,3,3,5,5,2,3,3,3,3,1,1,1,Estrangeira,Masculino,36 a 45 anos,Mestrado,Entre 10 e 20 sm,Sim,Lazer,2 a 3,Não
SBFZ,Doméstico,AZUL,Nenhuma,4,4,5,5,5,5,4,5,5,4,5,5,Brasileira,Masculino,26 a 35 anos,Superior,Entre 10 e 20 sm,Sim,Lazer,2 a 3,Não
SBFZ,Doméstico,GOL,Nenhuma,5,5,4,4,3,4,4,4,5,4,4,4,Brasileira,Feminino,26 a 35 anos,Superior,Entre 2 e 4 sm,Não,Lazer,2 a 3,Não
SBRF,Doméstico,GOL,Nenhuma,1,1,4,5,4,4,4,3,4,3,3,4,Brasileira,Masculino,36 a 45 anos,Superior,Entre 4 e 10 sm,Não,Lazer,2 a 3,Sim
SBRF,Doméstico,GOL,Nenhuma,4,4,5,4,4,5,4,3,5,3,3,4,Brasileira,Feminino,36 a 45 anos,Superior,Entre 4 e 10 sm,Não,Lazer,2 a 3,Sim
SBPA,Doméstico,LATAM,Nenhuma,4,4,5,5,3,5,4,3,5,4,4,4,Brasileira,Masculino,26 a 35 anos,Superior,Entre 1 e 2 sm,Não,Lazer,1 (Primeira viagem),Não
SBPA,Doméstico,AZUL,Nenhuma,4,4,4,3,2,4,2,1,4,4,5,4,Brasileira,Masculino,18 a 25 anos,Ensino médio,Entre 2 e 4 sm,Sim,Lazer,2 a 3,Não
SBCY,Doméstico,LATAM,Nenhuma,5,5,5,5,4,5,4,4,2,2,4,3,Brasileira,Feminino,26 a 35 anos,Superior,Entre 4 e 10 sm,Sim,Lazer,2 a 3,Sim
SBGR,Doméstico,GOL,Nenhuma,5,5,4,5,4,3,3,1,5,5,5,4,Brasileira,Feminino,18 a 25 anos,Superior,Prefiro não informar,Sim,Trabalho,1 (Primeira viagem),Sim
SBSG,Doméstico,LATAM,Nenhuma,4,4,5,5,5,5,5,1,5,3,5,5,Brasileira,Feminino,36 a 45 anos,Ensino médio,Entre 2 e 4 sm,Não,Trabalho,2 a 3,Não
SBPA,Doméstico,AZUL,Nenhuma,4,4,5,5,2,5,5,5,5,4,5,4,Brasileira,Masculino,26 a 35 anos,Superior,Entre 4 e 10 sm,Sim,Lazer,1 (Primeira viagem),Não
SBFZ,Doméstico,GOL,Nenhuma,5,5,5,5,4,4,5,3,5,5,5,5,Brasileira,Feminino,18 a 25 anos,Ensino médio,Entre 1 e 2 sm,Sim,Trabalho,2 a 3,Sim
SBCF,Doméstico,AZUL,Nenhuma,5,5,5,5,3,4,3,4,3,4,5,4,Brasileira,Feminino,26 a 35 anos,Superior,Entre 2 e 4 sm,Sim,Lazer,2 a 3,Sim
SBPA,Doméstico,AZUL,Nenhuma,5,5,5,5,5,5,4,5,5,5,5,4,Brasileira,Feminino,36 a 45 anos,Superior,Entre 4 e 10 sm,Sim,Lazer,1 (Primeira viagem),Não
SBSV,Doméstico,GOL,Nenhuma,5,5,5,5,5,5,5,3,2,5,5,4,Brasileira,Masculino,46 a 55 anos,Superior,Entre 4 e 10 sm,Sim,Trabalho,6 a 10,Sim
SBSP,Doméstico,LATAM,Nenhuma,5,5,5,5,4,5,2,4,5,3,4,4,Brasileira,Feminino,26 a 35 anos,Superior,Entre 4 e 10 sm,Não,Lazer,2 a 3,Sim
SBVT,Doméstico,AZUL,Nenhuma,5,5,5,5,3,5,5,5,5,5,5,5,Brasileira,Masculino,26 a 35 anos,Ensino médio,Entre 1 e 2 sm,Não,Lazer,1 (Primeira viagem),Não
SBGR,Doméstico,ITAPEMIRIM,Nenhuma,3,3,2,2,4,1,2,1,1,3,4,2,Brasileira,Masculino,26 a 35 anos,Ensino médio,Prefiro não informar,Sim,Trabalho,6 a 10,Sim
SBEG,Doméstico,GOL,Nenhuma,5,5,4,5,5,5,4,4,2,3,5,4,Brasileira,Masculino,56 a 65 anos,Superior,Entre 10 e 20 sm,Sim,Outros,6 a 10,Sim
SBMO,Doméstico,LATAM,Nenhuma,5,5,5,5,1,5,1,4,5,5,5,3,Brasileira,Feminino,26 a 35 anos,Superior,Entre 4 e 10 sm,Não,Lazer,1 (Primeira viagem),Não
SBCF,Doméstico,LATAM,Deficiência Física /Motora,5,5,5,5,5,5,5,5,5,5,5,5,Brasileira,Feminino,18 a 25 anos,Ensino médio,Entre 1 e 2 sm,Não,Lazer,2 a 3,Sim
SBCF,Doméstico,AZUL,Nenhuma,1,1,3,2,5,2,5,3,1,5,5,4,Brasileira,Masculino,26 a 35 anos,Superior,Entre 2 e 4 sm,Sim,Lazer,2 a 3,Sim
SBRJ,Doméstico,LATAM,Nenhuma,5,5,5,2,4,4,4,5,3,4,5,4,Brasileira,Masculino,36 a 45 anos,Superior,Entre 10 e 20 sm,Sim,Lazer,6 a 10,Sim
SBSG,Doméstico,GOL,Nenhuma,2,2,5,5,3,5,5,3,4,5,5,4,Brasileira,Masculino,26 a 35 anos,Superior,Entre 4 e 10 sm,Sim,Lazer,Mais de 11,Não
SBBE,Doméstico,AZUL,Nenhuma,5,5,5,5,4,5,5,3,3,5,5,4,Brasileira,Masculino,26 a 35 anos,Superior,Entre 4 e 10 sm,Sim,Outros,2 a 3,Sim
SBRF,Doméstico,LATAM,Nenhuma,3,3,4,4,2,4,3,3,4,4,4,3,Brasileira,Feminino,26 a 35 anos,Superior,Entre 4 e 10 sm,Sim,Lazer,2 a 3,Sim
SBPA,Doméstico,AZUL,Nenhuma,5,5,5,5,5,5,4,3,5,4,5,5,Brasileira,Feminino,26 a 35 anos,Superior,Entre 10 e 20 sm,Sim,Trabalho,Mais de 11,Sim
SBMO,Doméstico,GOL,Nenhuma,5,5,5,5,4,5,5,5,5,5,5,5,Brasileira,Masculino,26 a 35 anos,Superior,Entre 2 e 4 sm,Não,Lazer,1 (Primeira viagem),Não
